model,lambda,seed,episode,reward,original_reward,collision,success,tailgating_count,tailgating_rate,unsafe_lane_change_count,unsafe_lane_change_rate,lane_changes,speed,survival_time,safety_violation_score
Safe PPO,0.1,123,5,22.02568183792192,22.02568183792192,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,123,6,20.025681837921898,21.025681837921898,0,1,2,0.06666666666666667,0,0.0,0,20.032102297402385,30,0.06666666666666667
Safe PPO,0.1,123,7,5.4590151712552455,16.959015171255245,1,0,13,0.5416666666666666,0,0.0,0,19.698869538419647,24,10.541666666666666
Safe PPO,0.1,123,8,7.525681837921908,21.025681837921898,0,1,27,0.9,0,0.0,0,20.032102297402385,30,0.9
Safe PPO,0.1,123,9,22.02568183792192,22.02568183792192,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,123,10,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,123,11,7.525681837921906,22.02568183792192,0,1,29,0.9666666666666667,0,0.0,0,20.032102297402385,30,0.9666666666666667
Safe PPO,0.1,123,12,20.525681837921898,21.025681837921898,0,1,1,0.03333333333333333,0,0.0,0,20.032102297402385,30,0.03333333333333333
Safe PPO,0.1,123,13,22.02568183792192,22.02568183792192,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,123,14,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,123,15,20.525681837921898,21.025681837921898,0,1,1,0.03333333333333333,0,0.0,0,20.032102297402385,30,0.03333333333333333
Safe PPO,0.1,123,16,7.525681837921908,21.025681837921898,0,1,27,0.9,0,0.0,0,20.032102297402385,30,0.9
Safe PPO,0.1,123,17,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,123,18,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,123,19,5.025681837921909,20.02568183792191,0,1,30,1.0,0,0.0,0,20.032102297402385,30,1.0
Safe PPO,0.1,456,0,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,456,1,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,456,2,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,456,3,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,456,4,17.525681837921905,20.02568183792191,0,1,5,0.16666666666666666,0,0.0,0,20.032102297402385,30,0.16666666666666666
Safe PPO,0.1,456,5,7.025681837921906,22.02568183792192,0,1,30,1.0,0,0.0,0,20.032102297402385,30,1.0
Safe PPO,0.1,456,6,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,456,7,21.52568183792192,22.02568183792192,0,1,1,0.03333333333333333,0,0.0,0,20.032102297402385,30,0.03333333333333333
Safe PPO,0.1,456,8,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,456,9,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,456,10,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,456,11,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,456,12,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,456,13,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,456,14,13.025681837921919,22.02568183792192,0,1,18,0.6,0,0.0,0,20.032102297402385,30,0.6
Safe PPO,0.1,456,15,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,456,16,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,456,17,1.8590151712552387,11.359015171255237,1,0,9,0.5,0,0.0,0,19.37285992789286,18,10.5
Safe PPO,0.1,456,18,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,456,19,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,789,0,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,789,1,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,789,2,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,789,3,16.02568183792192,22.02568183792192,0,1,12,0.4,0,0.0,0,20.032102297402385,30,0.4
Safe PPO,0.1,789,4,9.525681837921908,21.025681837921898,0,1,23,0.7666666666666667,0,0.0,0,20.032102297402385,30,0.7666666666666667
Safe PPO,0.1,789,5,22.02568183792192,22.02568183792192,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
