model,lambda,episode,steps,lane_changes,collision,tailgating_rate,unsafe_lane_change_rate,progress_reward,collision_penalty,tailgating_penalty,lane_change_penalty,speed_penalty,net_reward
Safe PPO,0.5,15,30,0,0,0.03333333333333333,0.0,21.025681837921898,0.0,2.5,0.0,0.0,18.525681837921898
Safe PPO,0.5,16,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,0.5,17,30,0,0,0.0,0.0,22.02568183792192,0.0,0.0,0.0,0.0,22.02568183792192
Safe PPO,0.5,18,30,0,0,0.0,0.0,22.02568183792192,0.0,0.0,0.0,0.0,22.02568183792192
Safe PPO,0.5,19,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,0.5,20,30,0,0,0.0,0.0,22.02568183792192,0.0,0.0,0.0,0.0,22.02568183792192
Safe PPO,0.5,21,30,0,0,0.0,0.0,20.02568183792191,0.0,0.0,0.0,0.0,20.02568183792191
Safe PPO,0.5,22,30,0,0,0.0,0.0,22.02568183792192,0.0,0.0,0.0,0.0,22.02568183792192
Safe PPO,0.5,23,30,0,0,0.0,0.0,20.02568183792191,0.0,0.0,0.0,0.0,20.02568183792191
Safe PPO,0.5,24,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,0.5,25,30,0,0,1.0,0.0,22.02568183792192,0.0,75.0,0.0,0.0,-52.974318162078085
Safe PPO,0.5,26,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,0.5,27,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,0.5,28,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,0.5,29,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,0.5,30,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,0.5,31,30,0,0,0.26666666666666666,0.0,22.02568183792192,0.0,20.0,0.0,0.0,2.025681837921907
Safe PPO,0.5,32,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,0.5,33,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,0.5,34,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,0.5,35,30,0,0,0.06666666666666667,0.0,20.02568183792191,0.0,5.0,0.0,0.0,15.025681837921901
Safe PPO,0.5,36,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,0.5,37,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,0.5,38,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,0.5,39,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,0.5,40,30,0,0,0.0,0.0,20.02568183792191,0.0,0.0,0.0,0.0,20.02568183792191
Safe PPO,0.5,41,30,0,0,0.03333333333333333,0.0,22.02568183792192,0.0,2.5,0.0,0.0,19.525681837921915
Safe PPO,0.5,42,30,0,0,0.0,0.0,22.02568183792192,0.0,0.0,0.0,0.0,22.02568183792192
Safe PPO,0.5,43,30,0,0,0.0,0.0,22.02568183792192,0.0,0.0,0.0,0.0,22.02568183792192
Safe PPO,0.5,44,30,0,0,0.5333333333333333,0.0,20.02568183792191,0.0,40.0,0.0,0.0,-19.974318162078077
Safe PPO,0.5,45,30,0,0,0.06666666666666667,0.0,22.02568183792192,0.0,5.0,0.0,0.0,17.025681837921915
Safe PPO,0.5,46,30,0,0,0.5333333333333333,0.0,20.02568183792191,0.0,40.0,0.0,0.0,-19.974318162078085
Safe PPO,0.5,47,30,0,0,0.0,0.0,20.02568183792191,0.0,0.0,0.0,0.0,20.02568183792191
Safe PPO,0.5,48,30,0,0,0.1,0.0,22.02568183792192,0.0,7.5,0.0,0.0,14.525681837921914
Safe PPO,0.5,49,30,0,0,0.0,0.0,22.02568183792192,0.0,0.0,0.0,0.0,22.02568183792192
Safe PPO,1.0,0,30,0,0,0.0,0.0,20.02568183792191,0.0,0.0,0.0,0.0,20.02568183792191
Safe PPO,1.0,1,30,0,0,0.0,0.0,22.02568183792192,0.0,0.0,0.0,0.0,22.02568183792192
Safe PPO,1.0,2,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,1.0,3,30,0,0,0.2,0.0,20.02568183792191,0.0,30.0,0.0,0.0,-9.974318162078095
Safe PPO,1.0,4,30,0,0,0.0,0.0,22.02568183792192,0.0,0.0,0.0,0.0,22.02568183792192
Safe PPO,1.0,5,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,1.0,6,30,0,0,0.03333333333333333,0.0,21.025681837921898,0.0,5.0,0.0,0.0,16.025681837921898
Safe PPO,1.0,7,30,0,0,0.03333333333333333,0.0,20.02568183792191,0.0,5.0,0.0,0.0,15.025681837921901
Safe PPO,1.0,8,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,1.0,9,30,0,0,0.0,0.0,22.02568183792192,0.0,0.0,0.0,0.0,22.02568183792192
Safe PPO,1.0,10,30,0,0,0.0,0.0,22.02568183792192,0.0,0.0,0.0,0.0,22.02568183792192
Safe PPO,1.0,11,30,0,0,0.9333333333333333,0.0,20.02568183792191,0.0,140.0,0.0,0.0,-119.97431816207802
Safe PPO,1.0,12,30,0,0,0.0,0.0,22.02568183792192,0.0,0.0,0.0,0.0,22.02568183792192
Safe PPO,1.0,13,30,0,0,0.0,0.0,20.02568183792191,0.0,0.0,0.0,0.0,20.02568183792191
Safe PPO,1.0,14,30,0,0,0.1,0.0,21.025681837921898,0.0,15.0,0.0,0.0,6.025681837921907
Safe PPO,1.0,15,30,0,0,0.03333333333333333,0.0,21.025681837921898,0.0,5.0,0.0,0.0,16.025681837921898
Safe PPO,1.0,16,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,1.0,17,30,0,0,0.0,0.0,22.02568183792192,0.0,0.0,0.0,0.0,22.02568183792192
Safe PPO,1.0,18,30,0,0,0.0,0.0,22.02568183792192,0.0,0.0,0.0,0.0,22.02568183792192
Safe PPO,1.0,19,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,1.0,20,30,0,0,0.0,0.0,22.02568183792192,0.0,0.0,0.0,0.0,22.02568183792192
Safe PPO,1.0,21,30,0,0,0.0,0.0,20.02568183792191,0.0,0.0,0.0,0.0,20.02568183792191
Safe PPO,1.0,22,30,0,0,0.0,0.0,22.02568183792192,0.0,0.0,0.0,0.0,22.02568183792192
Safe PPO,1.0,23,30,0,0,0.0,0.0,20.02568183792191,0.0,0.0,0.0,0.0,20.02568183792191
Safe PPO,1.0,24,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,1.0,25,30,0,0,1.0,0.0,22.02568183792192,0.0,150.0,0.0,0.0,-127.97431816207809
Safe PPO,1.0,26,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,1.0,27,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
